"[""U""]",{U},Sensory Deprivation,"Enchant creature
Enchanted creature gets -3/-0.",,,Enchantment — Aura
"[""U""]",{1}{U},Storm Crow,"Flying (This creature can't be blocked except by creatures with flying or reach.)",1,2,Creature — Bird
"[""W""]",{3}{W},Ravnica at War,Exile all multicolored permanents.,,,Sorcery
"[""U""]",{U},Pteramander,"Flying
{7}{U}: Adapt 4. This ability costs {1} less to activate for each instant and sorcery card in your graveyard. (If this creature has no +1/+1 counters on it, put four +1/+1 counters on it.)",1,1,Creature — Salamander Drake
"[""G"",""U""]",{G}{U},Vedalken Heretic,"Whenever Vedalken Heretic deals damage to an opponent, you may draw a card.",1,1,Creature — Vedalken Rogue
"[""U""]",{1}{U}{U},Waterknot,"Enchant creature
When Waterknot enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",,,Enchantment — Aura
"[""B""]",{2}{B},Ruthless Knave,"{2}{B}, Sacrifice a creature: Create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Sacrifice three Treasures: Draw a card.",3,2,Creature — Orc Pirate
"[""G""]",{G},Veil of Summer,"Draw a card if an opponent has cast a blue or black spell this turn. Spells you control can't be countered this turn. You and permanents you control gain hexproof from blue and from black until end of turn. (You and they can't be the targets of blue or black spells or abilities your opponents control.)",,,Instant
"[""W""]",{2}{W},Disposal Mummy,"When Disposal Mummy enters the battlefield, exile target card from an opponent's graveyard.",2,3,Creature — Zombie Jackal
"[""U""]",{2}{U},Marang River Prowler,"Marang River Prowler can't block and can't be blocked.
You may cast Marang River Prowler from your graveyard as long as you control a black or green permanent.",2,1,Creature — Human Rogue
"[""U""]",{1}{U},Aura Graft,"Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.",,,Instant
"[""U""]",{4}{U}{U},"Saheeli's Artistry","Choose one or both —
• Create a token that's a copy of target artifact.
• Create a token that's a copy of target creature, except it's an artifact in addition to its other types.",,,Sorcery
"[""B""]",{5}{B}{B},"Kalitas, Bloodchief of Ghet","{B}{B}{B}, {T}: Destroy target creature. If that creature dies this way, create a black Vampire creature token. Its power is equal to that creature's power and its toughness is equal to that creature's toughness.",5,5,Legendary Creature — Vampire Warrior
"[""G"",""W""]",{G/W},Safewright Quest,"Search your library for a Forest or Plains card, reveal it, and put it into your hand. Then shuffle your library.",,,Sorcery
"[""B""]",{3}{B},Instill Infection,"Put a -1/-1 counter on target creature.
Draw a card.",,,Instant
"[""R""]",{2}{R}{R},Keldon Raider,"When Keldon Raider enters the battlefield, you may discard a card. If you do, draw a card.",4,3,Creature — Human Warrior
"[""G"",""W""]",{1}{G}{W},Behemoth Sledge,"Equipped creature gets +2/+2 and has trample and lifelink.
Equip {3}",,,Artifact — Equipment
"[""W""]",{3}{W}{W},Trapjaw Tyrant,"Enrage — Whenever Trapjaw Tyrant is dealt damage, exile target creature an opponent controls until Trapjaw Tyrant leaves the battlefield.",5,5,Creature — Dinosaur
"[""B"",""R"",""W""]",,Savai Triome,"({T}: Add {R}, {W}, or {B}.)
Savai Triome enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",,,Land — Mountain Plains Swamp
"[""B"",""G"",""W""]",{G},Warden of the First Tree,"{1}{W/B}: Warden of the First Tree becomes a Human Warrior with base power and toughness 3/3.
{2}{W/B}{W/B}: If Warden of the First Tree is a Warrior, it becomes a Human Spirit Warrior with trample and lifelink.
{3}{W/B}{W/B}{W/B}: If Warden of the First Tree is a Spirit, put five +1/+1 counters on it.",1,1,Creature — Human
"[""G""]",{1}{G},Thunderherd Migration,"As an additional cost to cast this spell, reveal a Dinosaur card from your hand or pay {1}.
Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",,,Sorcery
"[""G""]",{6}{G},Carnage Wurm,"Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",6,6,Creature — Wurm
"[""R""]",{3}{R},Goblin Barrage,"Kicker—Sacrifice an artifact or Goblin. (You may sacrifice an artifact or Goblin in addition to any other costs as you cast this spell.)
Goblin Barrage deals 4 damage to target creature. If this spell was kicked, it also deals 4 damage to target player or planeswalker.",,,Sorcery
"[""B"",""G""]",{3}{B}{G},"Pharika's Mender","When Pharika's Mender enters the battlefield, you may return target creature or enchantment card from your graveyard to your hand.",4,3,Creature — Gorgon
[],{6},Thopter Assembly,"Flying
At the beginning of your upkeep, if you control no Thopters other than Thopter Assembly, return Thopter Assembly to its owner's hand and create five 1/1 colorless Thopter artifact creature tokens with flying.",5,5,Artifact Creature — Thopter
"[""W""]",{1}{W},Steadfast Cathar,"Whenever Steadfast Cathar attacks, it gets +0/+2 until end of turn.",2,1,Creature — Human Soldier
"[""B"",""G""]",{1}{B}{G},"Harald, King of Skemfar","Menace (This creature can't be blocked except by two or more creatures.)
When Harald, King of Skemfar enters the battlefield, look at the top five cards of your library. You may reveal an Elf, Warrior, or Tyvar card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",3,2,Legendary Creature — Elf Warrior
"[""R""]",{4}{R},Deem Worthy,"Deem Worthy deals 7 damage to target creature.
Cycling {3}{R} ({3}{R}, Discard this card: Draw a card.)
When you cycle Deem Worthy, you may have it deal 2 damage to target creature.",,,Instant
[],{3},Coalition Relic,"{T}: Add one mana of any color.
{T}: Put a charge counter on Coalition Relic.
At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color for each charge counter removed this way.",,,Artifact
"[""W""]",{2}{W},Vizier of Deferment,"Flash
When Vizier of Deferment enters the battlefield, you may exile target creature if it attacked or blocked this turn. Return that card to the battlefield under its owner's control at the beginning of the next end step.",2,2,Creature — Human Cleric
"[""B""]",,"Shizo, Death's Storehouse","{T}: Add {B}.
{B}, {T}: Target legendary creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)",,,Legendary Land
"[""W""]",{3}{W},Summon the School,"Create two 1/1 blue Merfolk Wizard creature tokens.
Tap four untapped Merfolk you control: Return Summon the School from your graveyard to your hand.",,,Tribal Sorcery — Merfolk
"[""W""]",{3}{W},Courageous Outrider,"When Courageous Outrider enters the battlefield, look at the top four cards of your library. You may reveal a Human card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",3,4,Creature — Human Scout
"[""R""]",{R},Soul-Scar Mage,"Prowess
If a source you control would deal noncombat damage to a creature an opponent controls, put that many -1/-1 counters on that creature instead.",1,2,Creature — Human Wizard
"[""W""]",{3}{W}{W},Airdrop Aeronauts,"Flying
Revolt — When Airdrop Aeronauts enters the battlefield, if a permanent you controlled left the battlefield this turn, you gain 5 life.",4,3,Creature — Dwarf Scout
"[""G""]",{7}{G},Scaled Wurm,,7,6,Creature — Wurm
[],{6},Phyrexian Juggernaut,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Phyrexian Juggernaut attacks each combat if able.",5,5,Artifact Creature — Juggernaut
"[""G""]",{G}{G}{G},"Yorvo, Lord of Garenbrig","Yorvo, Lord of Garenbrig enters the battlefield with four +1/+1 counters on it.
Whenever another green creature enters the battlefield under your control, put a +1/+1 counter on Yorvo. Then if that creature's power is greater than Yorvo's power, put another +1/+1 counter on Yorvo.",0,0,Legendary Creature — Giant Noble
"[""W""]",{1}{W},Squadron Hawk,"Flying
When Squadron Hawk enters the battlefield, you may search your library for up to three cards named Squadron Hawk, reveal them, put them into your hand, then shuffle your library.",1,1,Creature — Bird
"[""R"",""W""]",{R/W},Boros Recruit,"({R/W} can be paid with either {R} or {W}.)
First strike",1,1,Creature — Goblin Soldier
"[""G""]",{G},Hunt the Hunter,Target green creature you control gets +2/+2 until end of turn. It fights target green creature an opponent controls.,,,Sorcery
"[""G"",""R""]",,Timber Gorge,"Timber Gorge enters the battlefield tapped.
{T}: Add {R} or {G}.",,,Land
"[""B""]",{1}{B},Crypt Creeper,Sacrifice Crypt Creeper: Exile target card from a graveyard.,2,1,Creature — Zombie
"[""B"",""W""]",{3}{B},Unyielding Krumar,{1}{W}: Unyielding Krumar gains first strike until end of turn.,3,3,Creature — Orc Warrior
[],{4},Solemn Simulacrum,"When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.
When Solemn Simulacrum dies, you may draw a card.",2,2,Artifact Creature — Golem
"[""B""]",{B},Demonic Vigor,"Enchant creature
Enchanted creature gets +1/+1.
When enchanted creature dies, return that card to its owner's hand.",,,Enchantment — Aura
"[""B""]",{B},Guul Draz Vampire,"As long as an opponent has 10 or less life, Guul Draz Vampire gets +2/+1 and has intimidate. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)",1,1,Creature — Vampire Rogue
"[""G""]",{G},Utopia Sprawl,"Enchant Forest
As Utopia Sprawl enters the battlefield, choose a color.
Whenever enchanted Forest is tapped for mana, its controller adds an additional one mana of the chosen color.",,,Enchantment — Aura
